foundation,category,dept_display_name,catalog_number,course_title
Foundations of Society and Culture,Historical Analysis,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",M137,"Lesbian, Gay, Bisexual, Transgender, and Queer Perspectives in Pop Music"
Foundations of Society and Culture,Social Analysis,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",M137,"Lesbian, Gay, Bisexual, Transgender, and Queer Perspectives in Pop Music"
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,1,Introduction to Study of Language
Foundations of Scientific Inquiry,Life Sciences,Linguistics,1,Introduction to Study of Language
Foundations of Arts and Humanities,Literary and Cultural Analysis,Linguistics,3,American Sign Language: Structure and Culture
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,3,American Sign Language: Structure and Culture
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,M4,Language and Evolution
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,5,World Languages
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,M7,Language and Identity
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,11,Scientific Study of Language and Society
Foundations of Society and Culture,Social Analysis,Linguistics,11,Scientific Study of Language and Society
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,20,Introduction to Linguistic Analysis
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Linguistics,40W,Language and Gender: Introduction to Gender and Stereotypes
Foundations of Society and Culture,Social Analysis,Linguistics,40W,Language and Gender: Introduction to Gender and Stereotypes
Foundations of Arts and Humanities,Literary and Cultural Analysis,Middle Eastern Studies,M50A,First Civilizations
Foundations of Society and Culture,Historical Analysis,Middle Eastern Studies,M50A,First Civilizations
Foundations of Arts and Humanities,Literary and Cultural Analysis,Middle Eastern Studies,M50B,"Origins of Judaism, Christianity, and Islam"
Foundations of Society and Culture,Historical Analysis,Middle Eastern Studies,M50B,"Origins of Judaism, Christianity, and Islam"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Middle Eastern Studies,M50CW,Making and Studying Modern Middle East
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,"Molecular, Cell, and Developmental Biology",60,Biomedical Ethics
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Music,M14,Introduction to Classical Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Music,15,Art of Listening
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Music Industry,29,Docs that Rock: Music Documentary in History and Practice
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Music Industry,55,Legends of Songwriting: Their Life in Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,M3,Introduction to Classical Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,5,History of Rock and Roll
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,7,Film and Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,8,History of Electronic Dance Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,9,American Popular Song
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,13,"Punk: Music, History, Subculture"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,35,Introduction to Opera
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,60,American Musical
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,61,Music in Los Angeles
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,62,Mozart
Foundations of Arts and Humanities,Literary and Cultural Analysis,Musicology,63,Bach
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,63,Bach
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,64,Motown and Soul: African American Popular Music of 1960s
Foundations of Arts and Humanities,Literary and Cultural Analysis,Musicology,65,Blues in American Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,65,Blues in American Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,66,Getting Medieval
Foundations of Society and Culture,Historical Analysis,Musicology,66,Getting Medieval
Foundations of Arts and Humanities,Literary and Cultural Analysis,Musicology,M67,Popular Jewish and Israeli Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,68,Beatles
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,69,Music and Politics
Foundations of Society and Culture,Social Analysis,Musicology,69,Music and Politics
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,70,Beethoven
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,71,Listening
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,72,Sacred Music
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,M73,Music and Religion in Popular Culture
Foundations of Society and Culture,Historical Analysis,Musicology,M73,Music and Religion in Popular Culture
Foundations of Society and Culture,Social Analysis,Musicology,M73,Music and Religion in Popular Culture
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,75,History of Jazz
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,79,"Dancehall, Rap, Reggaeton: Beats, Rhymes, and Routes in African Diaspora"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Musicology,M82,Music and Holocaust: Individual Experience
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,M82,Music and Holocaust: Individual Experience
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,94,Music and Internet
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,M112,"Disability and Musical-Dramatic Arts: Representation, Embodiment, Themes, and Practices"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,135A,History of Opera: Baroque and Classical Periods
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,135B,History of Opera: Romantic Period
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,135C,History of Opera: 20th Century
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,M136,Music and Gender
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Musicology,M137,"Lesbian, Gay, Bisexual, Transgender, and Queer Perspectives in Pop Music"
Foundations of Society and Culture,Historical Analysis,Musicology,M137,"Lesbian, Gay, Bisexual, Transgender, and Queer Perspectives in Pop Music"
