foundation,category,dept_display_name,catalog_number,course_title
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,M103D,Contemporary Chicano Theater: Beginning of Chicano Theater Movement
Foundations of Arts and Humanities,Literary and Cultural Analysis,Theater,103I,"Israel and Palestine: Communities, Conflicts, Cultures, and Arts in Middle East"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,103I,"Israel and Palestine: Communities, Conflicts, Cultures, and Arts in Middle East"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,103K,Asian American Theater: Technologies and Migrations in Trans-Pacific Performance
Foundations of Society and Culture,Social Analysis,Theater,103K,Asian American Theater: Technologies and Migrations in Trans-Pacific Performance
Foundations of Arts and Humanities,Literary and Cultural Analysis,Theater,106,History of American Theater and Drama
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,106,History of American Theater and Drama
Foundations of Arts and Humanities,Literary and Cultural Analysis,Theater,107,Drama of Diversity
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,107,Drama of Diversity
Foundations of Society and Culture,Social Analysis,Theater,107,Drama of Diversity
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,110,History of American Musical Theater
Foundations of Arts and Humanities,Literary and Cultural Analysis,Vietnamese,40,War in Vietnamese Popular Culture
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Vietnamese,40,War in Vietnamese Popular Culture
Foundations of Society and Culture,Social Analysis,Vietnamese,40,War in Vietnamese Popular Culture
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,World Arts and Cultures,33,Colonialisms and Resistance
Foundations of Society and Culture,Social Analysis,World Arts and Cultures,33,Colonialisms and Resistance
Foundations of Arts and Humanities,Literary and Cultural Analysis,World Arts and Cultures,51W,"Aliens, Psychics, and Ghosts"
Foundations of Society and Culture,Social Analysis,World Arts and Cultures,51W,"Aliens, Psychics, and Ghosts"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,World Arts and Cultures,M79,Food Politics: Cultural Solutions to Political Problems
Foundations of Society and Culture,Social Analysis,World Arts and Cultures,M79,Food Politics: Cultural Solutions to Political Problems
Foundations of Arts and Humanities,Literary and Cultural Analysis,Yiddish,10,From Old World to New: Becoming Modern as Reflected in Yiddish Cinema and Literature
Foundations of Society and Culture,Social Analysis,African American Studies,2C,"Black Folks Kung Fu Fightin': Black America, Martial Arts, and Popular Culture"
Foundations of Society and Culture,Historical Analysis,African American Studies,M5,Social Organization of Black Communities
Foundations of Society and Culture,Social Analysis,African American Studies,M5,Social Organization of Black Communities
Foundations of Society and Culture,Historical Analysis,African American Studies,6,Trends in Black Intellectual Thought
Foundations of Society and Culture,Historical Analysis,African American Studies,M10A,History of Africa to 1800
Foundations of Society and Culture,Social Analysis,American Indian Studies,M10,Introduction to American Indian Studies
Foundations of Society and Culture,Historical Analysis,Ancient Near East,14,"Medicine, Magic, and Science in Ancient Times"
Foundations of Society and Culture,Historical Analysis,Ancient Near East,14W,"Medicine, Magic, and Science in Ancient Times"
Foundations of Society and Culture,Historical Analysis,Ancient Near East,15,Women and Power in Ancient World
Foundations of Society and Culture,Historical Analysis,Ancient Near East,15W,Women and Power in Ancient World
Foundations of Society and Culture,Historical Analysis,Ancient Near East,M60,Achaemenid Civilization and Empire of Alexander
Foundations of Society and Culture,Historical Analysis,Ancient Near East,M60W,Achaemenid Civilization and Empire of Alexander
Foundations of Society and Culture,Social Analysis,Ancient Near East,162,"Archaeology, Identity, and Bible"
Foundations of Society and Culture,Historical Analysis,Anthropology,2,Archaeology: Introduction
Foundations of Society and Culture,Social Analysis,Anthropology,2,Archaeology: Introduction
Foundations of Society and Culture,Social Analysis,Anthropology,3,Culture and Society
Foundations of Society and Culture,Social Analysis,Anthropology,4,Culture and Communication
Foundations of Society and Culture,Historical Analysis,Architecture and Urban Design,10A,Histories of Architecture and Urbanism I
Foundations of Society and Culture,Historical Analysis,Architecture and Urban Design,10B,Histories of Architecture and Urbanism II
Foundations of Society and Culture,Historical Analysis,Asian American Studies,10,History of Asian Americans
Foundations of Society and Culture,Historical Analysis,Asian American Studies,10W,History of Asian Americans
Foundations of Society and Culture,Social Analysis,Asian American Studies,20,Contemporary Asian American Communities
Foundations of Society and Culture,Social Analysis,Asian American Studies,20W,Contemporary Asian American Communities
Foundations of Society and Culture,Historical Analysis,Asian American Studies,40,Asian American Movement
Foundations of Society and Culture,Historical Analysis,Asian American Studies,40W,Asian American Movement
Foundations of Society and Culture,Social Analysis,Asian American Studies,40W,Asian American Movement
Foundations of Society and Culture,Social Analysis,Asian American Studies,50,Asian American Women
Foundations of Society and Culture,Social Analysis,Asian American Studies,50W,Asian American Women
Foundations of Society and Culture,Historical Analysis,Chicana/o and Central American Studies,10B,Introduction to Chicana/Chicano Studies: Social Structure and Contemporary Conditions
Foundations of Society and Culture,Social Analysis,Chicana/o and Central American Studies,10B,Introduction to Chicana/Chicano Studies: Social Structure and Contemporary Conditions
Foundations of Scientific Inquiry,Life Sciences,Clusters,M1A,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Physical Sciences,Clusters,M1A,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Historical Analysis,Clusters,M1A,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Social Analysis,Clusters,M1A,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Life Sciences,Clusters,M1B,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Physical Sciences,Clusters,M1B,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Historical Analysis,Clusters,M1B,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Social Analysis,Clusters,M1B,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Life Sciences,Clusters,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Scientific Inquiry,Physical Sciences,Clusters,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Society and Culture,Historical Analysis,Clusters,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Society and Culture,Social Analysis,Clusters,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Scientific Inquiry,Life Sciences,Clusters,26A,Poverty and Health in Latin America
Foundations of Society and Culture,Historical Analysis,Clusters,26A,Poverty and Health in Latin America
Foundations of Society and Culture,Social Analysis,Clusters,26A,Poverty and Health in Latin America
Foundations of Scientific Inquiry,Life Sciences,Clusters,26B,Poverty and Health in Latin America
Foundations of Society and Culture,Historical Analysis,Clusters,26B,Poverty and Health in Latin America
Foundations of Society and Culture,Social Analysis,Clusters,26B,Poverty and Health in Latin America
Foundations of Scientific Inquiry,Life Sciences,Clusters,26CW,Poverty and Health in Latin America: Special Topics
Foundations of Society and Culture,Historical Analysis,Clusters,26CW,Poverty and Health in Latin America: Special Topics
Foundations of Society and Culture,Social Analysis,Clusters,26CW,Poverty and Health in Latin America: Special Topics
Foundations of Scientific Inquiry,Life Sciences,Clusters,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Clusters,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Clusters,M72A,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Clusters,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Clusters,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Clusters,M72B,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Clusters,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Historical Analysis,Clusters,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Social Analysis,Clusters,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Scientific Inquiry,Life Sciences,Clusters,80A,Frontiers in Human Aging
Foundations of Society and Culture,Historical Analysis,Clusters,80A,Frontiers in Human Aging
Foundations of Society and Culture,Social Analysis,Clusters,80A,Frontiers in Human Aging
Foundations of Scientific Inquiry,Life Sciences,Clusters,80BX,Frontiers in Human Aging
Foundations of Society and Culture,Historical Analysis,Clusters,80BX,Frontiers in Human Aging
Foundations of Society and Culture,Social Analysis,Clusters,80BX,Frontiers in Human Aging
Foundations of Scientific Inquiry,Life Sciences,Clusters,80CW,Frontiers in Human Aging--Special Topics
Foundations of Society and Culture,Historical Analysis,Clusters,80CW,Frontiers in Human Aging--Special Topics
Foundations of Society and Culture,Social Analysis,Clusters,80CW,Frontiers in Human Aging--Special Topics
Foundations of Society and Culture,Social Analysis,Communication,10,Introduction to Communication
Foundations of Scientific Inquiry,Life Sciences,Communication,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Communication,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Communication,M72A,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Communication,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Communication,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Communication,M72B,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Communication,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Historical Analysis,Communication,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Social Analysis,Communication,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Social Analysis,Community Engagement and Social Change,50XP,Engaging Los Angeles
Foundations of Society and Culture,Social Analysis,Community Health Sciences,20,Public Health Perspectives on Sexual and Reproductive Health
Foundations of Society and Culture,Social Analysis,Design / Media Arts,8,Media Histories
Foundations of Society and Culture,Social Analysis,Design / Media Arts,29,Social Computing
Foundations of Society and Culture,Social Analysis,Digital Humanities,30,Los Angeles Tech City: Digital Technologies and Spatial Justice
Foundations of Society and Culture,Historical Analysis,Disability Studies,1,Construction of (Dis)ability and Ableism in U.S.
Foundations of Society and Culture,Social Analysis,Disability Studies,1,Construction of (Dis)ability and Ableism in U.S.
Foundations of Society and Culture,Social Analysis,Economics,5,Economics for Everyone
Foundations of Society and Culture,Social Analysis,Education,10,Introduction to Educational Issues and Scholarship
Foundations of Society and Culture,Social Analysis,Education,11,"Education, Equality, and Future of American Society: Problems, Prospects, and Policies"
Foundations of Society and Culture,Social Analysis,Education,35,Introduction to Inquiry and Research in Education
Foundations of Scientific Inquiry,Life Sciences,Environment,M1A,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Physical Sciences,Environment,M1A,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Historical Analysis,Environment,M1A,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Social Analysis,Environment,M1A,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Life Sciences,Environment,M1B,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Physical Sciences,Environment,M1B,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Historical Analysis,Environment,M1B,Food: Lens for Environment and Sustainability
Foundations of Society and Culture,Social Analysis,Environment,M1B,Food: Lens for Environment and Sustainability
Foundations of Scientific Inquiry,Life Sciences,Environment,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Scientific Inquiry,Physical Sciences,Environment,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Society and Culture,Historical Analysis,Environment,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Society and Culture,Social Analysis,Environment,M1CW,Food: Lens for Environment and Sustainability--Special Topics
Foundations of Society and Culture,Social Analysis,Ethnomusicology,46,India through Music
Foundations of Society and Culture,Social Analysis,Ethnomusicology,46W,India through Music
Foundations of Society and Culture,Historical Analysis,Ethnomusicology,M80,Jewish American Experience through Music
Foundations of Society and Culture,Historical Analysis,European Languages and Transcultural Studies,M25,Global Food Studies: Ecocultural Sustainability and Diversity
Foundations of Society and Culture,Social Analysis,European Languages and Transcultural Studies,M25,Global Food Studies: Ecocultural Sustainability and Diversity
Foundations of Society and Culture,Historical Analysis,Food Studies,M25,Global Food Studies: Ecocultural Sustainability and Diversity
Foundations of Society and Culture,Social Analysis,Food Studies,M25,Global Food Studies: Ecocultural Sustainability and Diversity
Foundations of Society and Culture,Social Analysis,Gender Studies,10,Introduction to Gender Studies
Foundations of Society and Culture,Social Analysis,Geography,3,Cultural Geography
Foundations of Society and Culture,Historical Analysis,Geography,4,Globalization: Regional Development and World Economy
Foundations of Society and Culture,Social Analysis,Geography,6,World Regions: Concepts and Contemporary Issues
Foundations of Scientific Inquiry,Life Sciences,Geography,7,Introduction to Geographic Information Systems
Foundations of Scientific Inquiry,Physical Sciences,Geography,7,Introduction to Geographic Information Systems
Foundations of Society and Culture,Social Analysis,Geography,7,Introduction to Geographic Information Systems
Foundations of Society and Culture,Social Analysis,Geography,8,Geographies of Sustainability and Unsustainability
Foundations of Society and Culture,Social Analysis,Gerontology,M108,"Biomedical, Social, and Policy Frontiers in Human Aging"
Foundations of Society and Culture,Social Analysis,Global Studies,1,Introduction to Globalization
Foundations of Society and Culture,Historical Analysis,History,1A,"Introduction to Western Civilization: Ancient Civilizations, Prehistory to circa AD 843"
Foundations of Society and Culture,Historical Analysis,History,1B,Introduction to Western Civilization: Circa 843 to circa 1715
Foundations of Society and Culture,Historical Analysis,History,1C,Introduction to Western Civilization: Circa 1715 to Present
Foundations of Society and Culture,Historical Analysis,History,2B,History of Science: Middle Ages
Foundations of Society and Culture,Social Analysis,History,2B,History of Science: Middle Ages
Foundations of Society and Culture,Historical Analysis,History,2C,"Religion, Occult, and Science: Mystics, Heretics, and Witches in Western Tradition, 1000 to 1600"
Foundations of Society and Culture,Historical Analysis,History,3A,History of Science: Renaissance to 1800
Foundations of Society and Culture,Historical Analysis,History,3C,History of Science: 20th Century
Foundations of Society and Culture,Historical Analysis,History,3D,History of Modern Medicine
Foundations of Society and Culture,Historical Analysis,History,M4,Introduction to History of Religions
Foundations of Society and Culture,Historical Analysis,History,5,Holocaust: History and Memory
Foundations of Society and Culture,Social Analysis,History,5,Holocaust: History and Memory
Foundations of Society and Culture,Historical Analysis,History,8B,Modern Latin America
Foundations of Society and Culture,Historical Analysis,History,8C,Contemporary Latin American Film and Culture
Foundations of Society and Culture,Historical Analysis,History,9C,Introduction to Asian Civilizations: History of Japan
Foundations of Society and Culture,Historical Analysis,History,9D,Introduction to Asian Civilizations: History of Middle East
Foundations of Society and Culture,Historical Analysis,History,M10A,History of Africa to 1800
Foundations of Society and Culture,Historical Analysis,History,10B,"History of Africa, 1800 to Present"
Foundations of Society and Culture,Historical Analysis,History,11B,"History of China, circa 1000 to 2000"
Foundations of Society and Culture,Historical Analysis,History,12A,Inequality: History of Mass Imprisonment
Foundations of Society and Culture,Social Analysis,History,12A,Inequality: History of Mass Imprisonment
Foundations of Society and Culture,Historical Analysis,History,12B,Inequality: History of Neoliberalism
Foundations of Society and Culture,Social Analysis,History,12B,Inequality: History of Neoliberalism
Foundations of Society and Culture,Historical Analysis,History,12C,Inequality: Global History of Anti-Colonial Thought and Struggle
Foundations of Society and Culture,Social Analysis,History,12C,Inequality: Global History of Anti-Colonial Thought and Struggle
Foundations of Society and Culture,Historical Analysis,History,12D,Inequality: Global History of Capitalism
Foundations of Society and Culture,Social Analysis,History,12D,Inequality: Global History of Capitalism
Foundations of Society and Culture,Historical Analysis,History,13A,History of the U.S. and Its Colonial Origins: Colonial Origins and First Nation Building Acts
Foundations of Society and Culture,Historical Analysis,History,13B,History of the U.S. and Its Colonial Origins: 19th Century
Foundations of Society and Culture,Historical Analysis,History,13C,History of the U.S. and Its Colonial Origins: 20th Century
Foundations of Society and Culture,Historical Analysis,History,20,World History to AD 600
Foundations of Society and Culture,Historical Analysis,History,21,"World History, circa 600 to 1760"
Foundations of Society and Culture,Historical Analysis,History,22,"Contemporary World History, 1760 to Present"
Foundations of Society and Culture,Historical Analysis,History,M60,Achaemenid Civilization and Empire of Alexander
Foundations of Society and Culture,Historical Analysis,History,M60W,Achaemenid Civilization and Empire of Alexander
Foundations of Scientific Inquiry,Life Sciences,Honors Collegium,41,Understanding Ecology: Finding Interdisciplinary Solutions to Environmental Problems
Foundations of Society and Culture,Social Analysis,Honors Collegium,41,Understanding Ecology: Finding Interdisciplinary Solutions to Environmental Problems
Foundations of Society and Culture,Historical Analysis,Honors Collegium,80,Cossacks and Narratives about Them
Foundations of Society and Culture,Social Analysis,Information Studies,10,Information and Power
Foundations of Society and Culture,Social Analysis,Information Studies,20,Digital Cultures and Societies
Foundations of Society and Culture,Social Analysis,Information Studies,30,Internet and Society
Foundations of Society and Culture,Social Analysis,International and Area Studies,1,Introduction to International and Area Studies
Foundations of Society and Culture,Historical Analysis,International and Area Studies,33,Introduction to East Asia
Foundations of Society and Culture,Social Analysis,International and Area Studies,33,Introduction to East Asia
Foundations of Society and Culture,Historical Analysis,International and Area Studies,50,Introduction to Latin America
Foundations of Society and Culture,Social Analysis,International and Area Studies,50,Introduction to Latin America
Foundations of Society and Culture,Social Analysis,International Development Studies,1,Introduction to International Development Studies
Foundations of Society and Culture,Historical Analysis,Iranian,M60,Achaemenid Civilization and Empire of Alexander
Foundations of Society and Culture,Historical Analysis,Iranian,M60W,Achaemenid Civilization and Empire of Alexander
Foundations of Society and Culture,Historical Analysis,Islamic Studies,CM107,Islam in West
Foundations of Society and Culture,Social Analysis,Islamic Studies,CM107,Islam in West
Foundations of Society and Culture,Historical Analysis,Jewish Studies,M80,Jewish American Experience through Music
Foundations of Society and Culture,Social Analysis,Korean,40,Korean Wave: Globalization of South Korean Popular Culture
Foundations of Society and Culture,Historical Analysis,Korean,50,History of Korean Civilization
Foundations of Society and Culture,Historical Analysis,Labor Studies,10,Introduction to Labor Studies
Foundations of Society and Culture,Social Analysis,Labor Studies,10,Introduction to Labor Studies
Foundations of Society and Culture,Historical Analysis,Musicology,M80,Jewish American Experience through Music
Foundations of Society and Culture,Social Analysis,Political Science,10,Introduction to Political Theory
Foundations of Society and Culture,Social Analysis,Political Science,20,World Politics
Foundations of Society and Culture,Social Analysis,Political Science,40,Introduction to American Politics
Foundations of Society and Culture,Social Analysis,Political Science,50,Introduction to Comparative Politics
Foundations of Society and Culture,Social Analysis,Political Science,60,Ethics and Governance
Foundations of Society and Culture,Social Analysis,Public Affairs,10,Social Problems and Social Change
Foundations of Society and Culture,Social Analysis,Public Affairs,30,"Comparative Analysis of Wealth, Policy, and Power"
Foundations of Society and Culture,Social Analysis,Public Affairs,M130,"Biomedical, Social, and Policy Frontiers in Human Aging"
Foundations of Society and Culture,Social Analysis,Public Health,50A,Introduction to Public Health I
Foundations of Society and Culture,Social Analysis,Public Policy,10A,Introduction to Policy Analysis
Foundations of Society and Culture,Social Analysis,Public Policy,10C,"Public Policy for Crime, Cannabis, and Other Drugs"
Foundations of Society and Culture,Historical Analysis,Public Policy,10D,Public Policy and Urban Homelessness
Foundations of Society and Culture,Social Analysis,Public Policy,10D,Public Policy and Urban Homelessness
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M4,Introduction to History of Religions
Foundations of Society and Culture,Social Analysis,"Religion, Study of",11,Religion in Los Angeles
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M40,Christianities East and West
Foundations of Society and Culture,Social Analysis,"Religion, Study of",M40,Christianities East and West
Foundations of Society and Culture,Social Analysis,"Religion, Study of",55,Spirit of Medicine
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M107,Islam in West
Foundations of Society and Culture,Social Analysis,"Religion, Study of",M107,Islam in West
Foundations of Society and Culture,Historical Analysis,Scandinavian,138,Vikings
Foundations of Society and Culture,Social Analysis,Scandinavian,138,Vikings
Foundations of Society and Culture,Historical Analysis,Slavic,M40,Christianities East and West
Foundations of Society and Culture,Social Analysis,Slavic,M40,Christianities East and West
Foundations of Society and Culture,Social Analysis,Social Welfare,M108,"Biomedical, Social, and Policy Frontiers in Human Aging"
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,5,Integrative Approaches to Human Biology and Society
Foundations of Society and Culture,Social Analysis,Society and Genetics,5,Integrative Approaches to Human Biology and Society
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Society and Genetics,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Society and Genetics,M72A,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Society and Genetics,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Society and Genetics,M72B,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Historical Analysis,Society and Genetics,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Social Analysis,Society and Genetics,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,102,Societal and Medical Issues in Human Genetics
Foundations of Society and Culture,Social Analysis,Society and Genetics,102,Societal and Medical Issues in Human Genetics
Foundations of Society and Culture,Social Analysis,Sociology,1,Introductory Sociology
Foundations of Society and Culture,Historical Analysis,Sociology,M5,Social Organization of Black Communities
Foundations of Society and Culture,Social Analysis,Sociology,M5,Social Organization of Black Communities
Foundations of Society and Culture,Historical Analysis,Sociology,40,American Racism: Psychosocial Analysis
Foundations of Society and Culture,Social Analysis,Sociology,40,American Racism: Psychosocial Analysis
Foundations of Society and Culture,Social Analysis,Sociology,51,Sociology of Migration
Foundations of Scientific Inquiry,Life Sciences,Sociology,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Sociology,M72A,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Sociology,M72A,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Sociology,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Historical Analysis,Sociology,M72B,Sex from Biology to Gendered Society
Foundations of Society and Culture,Social Analysis,Sociology,M72B,Sex from Biology to Gendered Society
Foundations of Scientific Inquiry,Life Sciences,Sociology,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Historical Analysis,Sociology,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Social Analysis,Sociology,M72CW,Sex from Biology to Gendered Society: Special Topics
Foundations of Society and Culture,Historical Analysis,Southeast Asian,50,Southeast Asian Societies and Cultures
Foundations of Society and Culture,Social Analysis,Southeast Asian,50,Southeast Asian Societies and Cultures
Foundations of Society and Culture,Historical Analysis,Spanish,44,Latin American Cultures
Foundations of Society and Culture,Social Analysis,Statistics,12,Introduction to Statistical Methods for Geography and Environmental Studies
Foundations of Society and Culture,Social Analysis,World Arts and Cultures,M23,Introduction to American Indian Studies
Foundations of Scientific Inquiry,Life Sciences,Anthropology,1,Human Evolution
Foundations of Scientific Inquiry,Life Sciences,Archaeology,30,Science in Archaeology
Foundations of Scientific Inquiry,Physical Sciences,Archaeology,30,Science in Archaeology
Foundations of Scientific Inquiry,Physical Sciences,Astronomy,3,Nature of the Universe
Foundations of Scientific Inquiry,Physical Sciences,Astronomy,4,Black Holes and Cosmic Catastrophes
Foundations of Scientific Inquiry,Life Sciences,Astronomy,5,Life in Universe
Foundations of Scientific Inquiry,Physical Sciences,Astronomy,5,Life in Universe
Foundations of Scientific Inquiry,Physical Sciences,Astronomy,6,"Cosmology: Origin, History, and Fate of Universe"
Foundations of Scientific Inquiry,Physical Sciences,Atmospheric and Oceanic Sciences,1,Climate Change: From Puzzles to Policy
Foundations of Scientific Inquiry,Physical Sciences,Atmospheric and Oceanic Sciences,1L,Climate Change: From Puzzles to Policy--Laboratory
Foundations of Scientific Inquiry,Physical Sciences,Atmospheric and Oceanic Sciences,2,Air Pollution
Foundations of Scientific Inquiry,Physical Sciences,Atmospheric and Oceanic Sciences,2L,Air Pollution Laboratory
Foundations of Scientific Inquiry,Physical Sciences,Atmospheric and Oceanic Sciences,3,Meteorology and Extreme Weather
Foundations of Scientific Inquiry,Physical Sciences,Atmospheric and Oceanic Sciences,3L,Meteorology and Extreme Weather Laboratory
Foundations of Scientific Inquiry,Physical Sciences,Atmospheric and Oceanic Sciences,M7,Perils of Space: Introduction to Space Weather
Foundations of Scientific Inquiry,Life Sciences,Biomedical Research,1A,Science in Your Time
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,3,Material World
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,14A,General Chemistry for Life Scientists I
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,14AE,General Chemistry for Life Scientists I--Enhanced
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,14B,General Chemistry for Life Scientists II
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,14BE,General Chemistry for Life Scientists II--Enhanced
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,14BL,General and Organic Chemistry Laboratory I
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,20A,Chemical Structure
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,20AH,Chemical Structure (Honors)
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,20B,Chemical Energetics and Change
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,20BH,Chemical Energetics and Change (Honors)
Foundations of Scientific Inquiry,Physical Sciences,Chemistry and Biochemistry,20L,General Chemistry Laboratory
Foundations of Scientific Inquiry,Life Sciences,Clusters,70A,Evolution of Cosmos and Life
Foundations of Scientific Inquiry,Physical Sciences,Clusters,70A,Evolution of Cosmos and Life
Foundations of Scientific Inquiry,Life Sciences,Clusters,70B,Evolution of Cosmos and Life
Foundations of Scientific Inquiry,Physical Sciences,Clusters,70B,Evolution of Cosmos and Life
Foundations of Scientific Inquiry,Life Sciences,Clusters,70CW,Evolution of Cosmos and Life: Special Topics in Life and Physical Sciences
Foundations of Scientific Inquiry,Physical Sciences,Clusters,70CW,Evolution of Cosmos and Life: Special Topics in Life and Physical Sciences
Foundations of Scientific Inquiry,Life Sciences,Community Health Sciences,48,Nutrition and Food Studies: Principles and Practice
Foundations of Scientific Inquiry,Physical Sciences,Computer Science,30,Principles and Practices of Computing
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",1,Introduction to Earth Science
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",2,Science in the Movies
Foundations of Scientific Inquiry,Life Sciences,"Earth, Planetary, and Space Sciences",3,Astrobiology
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",3,Astrobiology
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",5,Environmental Geology of Los Angeles
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",M7,Perils of Space: Introduction to Space Weather
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",8,Earthquakes
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",9,Solar System and Planets
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",10,"Exploring Mars, Red Planet"
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",13,Natural Disasters
Foundations of Scientific Inquiry,Life Sciences,"Earth, Planetary, and Space Sciences",15,Blue Planet: Introduction to Oceanography
